"product_name","customer_segment","no_of_order"
"Instant Noodles","New","7"
"Spinach","Regular","7"
"Milk","Inactive","6"
"Milk","New","6"
"Spinach","New","6"
"Instant Noodles","Inactive","6"
"Lemonade","Inactive","6"
"Lemonade","New","6"
"Lemonade","Premium","5"
"Spinach","Premium","5"
"Lemonade","Regular","4"
"Spinach","Inactive","3"
